編號,經度,緯度,事件類別,CBI值
108_A2_1-6_104,121.463965,25.085366,A2,1
108_A2_1-6_105,121.457206,25.088071,A2,1
108_A2_1-6_106,121.73542,25.131626,A2,1
108_A2_1-6_107,121.514613,25.038607,A2,1
108_A2_1-6_108,121.259699,24.964064,A2,1
108_A2_1-6_109,120.4308,22.64583,A2,1
108_A2_1-6_110,121.56057,25.016627,A2,1
108_A2_1-6_111,121.479999,25.00025,A2,1
108_A2_1-6_112,120.55507,22.62436,A2,1
108_A2_1-6_113,120.555702,24.232093,A2,1
108_A2_1-6_114,120.974308,24.814174,A2,1
108_A2_1-6_115,121.303231,25.044488,A2,1
108_A2_1-6_116,121.292755,25.018194,A2,1
108_A2_1-6_117,120.225031,23.019373,A2,1
108_A2_1-6_118,120.229426,22.964981,A2,1
108_A2_1-6_119,120.169614,23.168361,A2,1
108_A2_1-6_120,121.307477,24.983811,A2,1
108_A2_1-6_121,121.516012,25.064372,A2,1
108_A2_1-6_122,120.830314,24.472365,A2,1
108_A2_1-6_123,120.683459,24.172419,A2,1
108_A2_1-6_124,121.455692,25.16162,A2,1
108_A2_1-6_125,120.666925,24.131334,A2,1
108_A2_1-6_126,120.325247,22.727047,A2,1
108_A2_1-6_127,121.433582,25.020112,A2,1
108_A2_1-6_128,120.67942,24.116625,A2,1
108_A2_1-6_129,121.261721,24.88009,A2,1
108_A2_1-6_130,121.296613,25.010352,A2,1
108_A2_1-6_131,120.968479,24.803061,A2,1
108_A2_1-6_132,121.774173,24.67364,A2,1
108_A2_1-6_133,120.66351,24.113823,A2,1
108_A2_1-6_134,120.677716,24.146309,A2,1
108_A2_1-6_135,120.629141,24.352886,A2,1
108_A2_1-6_136,121.341165,24.994035,A2,1
108_A2_1-6_137,121.268156,24.982455,A2,1
108_A2_1-6_138,121.617002,25.051854,A2,1
108_A2_1-6_139,121.507984,25.044683,A2,1
108_A2_1-6_140,121.734202,25.135103,A2,1
108_A2_1-6_141,121.508236,25.076818,A2,1
108_A2_1-6_142,121.437691,25.179254,A2,1
108_A2_1-6_143,120.308044,22.662321,A2,1
108_A2_1-6_144,120.589266,24.180264,A2,1
108_A2_1-6_145,121.5095,25.02805,A2,1
108_A2_1-6_146,120.422759,23.553034,A2,1
108_A2_1-6_147,121.342617,24.992334,A2,1
108_A2_1-6_148,121.524183,25.009458,A2,1
108_A2_1-6_149,120.652128,24.16658,A2,1
108_A2_1-6_150,121.525171,25.005787,A2,1
108_A2_1-6_151,121.312607,24.992408,A2,1
108_A2_1-6_152,121.500916,24.989805,A2,1
108_A2_1-6_153,121.377918,24.937856,A2,1
108_A2_1-6_154,120.568416,23.954619,A2,1
108_A2_1-6_155,120.818634,24.553886,A2,1
108_A2_1-6_156,121.80572,25.108308,A2,1
108_A2_1-6_157,121.408757,25.018906,A2,1
108_A2_1-6_158,120.577871,24.276613,A2,1
108_A2_1-6_159,121.607488,25.073523,A2,1
108_A2_1-6_160,121.499979,25.062361,A2,1
108_A2_1-6_161,121.026277,24.816383,A2,1
108_A2_1-6_162,120.677786,24.129683,A2,1
108_A2_1-6_163,121.616018,25.048678,A2,1
108_A2_1-6_164,120.30152,22.62716,A2,1
108_A2_1-6_165,121.500752,25.000757,A2,1
108_A2_1-6_166,120.544441,24.072108,A2,1
108_A2_1-6_167,120.648335,24.156089,A2,1
108_A2_1-6_168,120.218496,23.057314,A2,1
108_A2_1-6_169,121.446606,25.043267,A2,1
108_A2_1-6_170,120.324924,22.577497,A2,1
108_A2_1-6_171,121.525036,25.085431,A2,1
108_A2_1-6_172,121.544406,25.138629,A2,1
108_A2_1-6_173,120.722611,24.118952,A2,1
108_A2_1-6_174,121.354498,24.954668,A2,1
108_A2_1-6_175,121.525605,25.045956,A2,1
108_A2_1-6_176,120.196812,22.997209,A2,1
108_A2_1-6_177,121.500429,25.038569,A2,1
108_A2_1-6_178,121.421033,24.979171,A2,1
108_A2_1-6_179,120.23773,22.982901,A2,1
108_A2_1-6_180,120.671527,23.927346,A2,1
108_A2_1-6_181,120.194817,22.986369,A2,1
108_A2_1-6_182,120.647646,24.221436,A2,1
108_A2_1-6_183,121.462876,25.081345,A2,1
108_A2_1-6_184,120.190277,23.001803,A2,1
108_A2_1-6_185,121.592207,23.986982,A2,1
108_A2_1-6_186,120.612407,24.146936,A2,1
108_A2_1-6_187,120.496997,23.5191,A2,1
108_A2_1-6_188,120.414359,24.030294,A2,1
108_A2_1-6_189,120.438146,24.062787,A2,1
108_A2_1-6_190,121.19685,22.803308,A2,1
108_A2_1-6_191,120.657107,24.130353,A2,1
108_A2_1-6_192,121.712797,25.096674,A2,1
108_A2_1-6_193,121.749617,24.760028,A2,1
108_A2_1-6_194,121.567135,25.04008,A2,1
108_A2_1-6_195,120.827875,24.546661,A2,1
108_A2_1-6_196,120.969607,24.816885,A2,1
108_A2_1-6_197,121.483964,25.017654,A2,1
108_A2_1-6_198,120.864044,24.397996,A2,1
108_A2_1-6_199,121.338939,24.941661,A2,1
108_A2_1-6_200,121.481841,25.067783,A2,1
108_A2_1-6_201,121.438797,25.083199,A2,1
108_A2_1-6_202,120.335119,22.656347,A2,1
108_A2_1-6_203,121.704955,25.139502,A2,1
108_A2_1-6_204,121.311939,25.013453,A2,1
108_A2_1-6_205,121.767085,24.672914,A2,1
108_A2_1-6_206,121.608969,25.00031,A2,1
108_A2_1-6_207,121.443223,25.04593,A2,1
108_A2_1-6_208,121.211482,24.956115,A2,1
108_A2_1-6_209,121.060413,24.833862,A2,1
108_A2_1-6_210,120.279149,22.663223,A2,1
108_A2_1-6_211,120.251463,23.183047,A2,1
108_A2_1-6_212,121.006571,24.828806,A2,1
108_A2_1-6_213,120.705423,24.213363,A2,1
108_A2_1-6_214,121.024205,24.775967,A2,1
108_A2_1-6_215,121.261094,24.949989,A2,1
108_A2_1-6_216,121.50799,25.029444,A2,1
108_A2_1-6_217,120.57762,24.077059,A2,1
108_A2_1-6_218,121.325643,24.972247,A2,1
108_A2_1-6_219,121.459789,25.020925,A2,1
108_A2_1-6_220,120.3083,22.62778,A2,1
108_A2_1-6_221,121.298325,25.005272,A2,1
108_A2_1-6_222,121.338795,24.994324,A2,1
108_A2_1-6_223,121.542723,24.972998,A2,1
108_A2_1-6_224,120.213663,23.013166,A2,1
108_A2_1-6_225,120.658426,24.11861,A2,1
108_A2_1-6_226,120.3099,22.8938,A2,1
108_A2_1-6_227,121.566355,25.027269,A2,1
108_A2_1-6_228,121.509965,25.024035,A2,1
108_A2_1-6_229,120.350887,22.639691,A2,1
108_A2_1-6_230,120.395273,22.515426,A2,1
108_A2_1-6_231,120.96605,24.80584,A2,1
108_A2_1-6_232,121.615592,25.067834,A2,1
108_A2_1-6_233,120.49658,22.681563,A2,1
108_A2_1-6_234,121.369868,25.060631,A2,1
108_A2_1-6_235,121.45749,24.995791,A2,1
108_A2_1-6_236,121.499542,25.141294,A2,1
108_A2_1-6_237,121.456164,25.040444,A2,1
108_A2_1-6_238,120.879584,24.693162,A2,1
108_A2_1-6_239,121.222619,24.958419,A2,1
108_A2_1-6_240,121.234458,24.973641,A2,1
108_A2_1-6_241,120.965236,24.797937,A2,1
108_A2_1-6_242,121.49929,25.062609,A2,1
108_A2_1-6_243,120.969137,24.797236,A2,1
108_A2_1-6_244,120.977215,24.796778,A2,1
108_A2_1-6_245,121.199939,24.997459,A2,1
108_A2_1-6_246,121.107989,24.850318,A2,1
108_A2_1-6_247,120.936002,24.71383,A2,1
108_A2_1-6_248,120.661671,24.149035,A2,1
108_A2_1-6_249,120.346902,23.558418,A2,1
108_A2_1-6_250,120.684966,24.157629,A2,1
108_A2_1-6_251,120.295094,23.09144,A2,1
108_A2_1-6_252,120.3553,22.63686,A2,1
108_A2_1-6_253,121.710201,24.77531,A2,1
108_A2_1-6_254,120.507196,24.04462,A2,1
108_A2_1-6_255,121.312344,24.976651,A2,1
108_A2_1-6_256,120.179019,23.227975,A2,1
108_A2_1-6_257,121.289667,24.958656,A2,1
108_A2_1-6_258,121.134643,22.746855,A2,1
108_A2_1-6_259,121.533444,25.06037,A2,1
108_A2_1-6_260,121.184764,24.838846,A2,1
108_A2_1-6_261,121.753,24.743543,A2,1
108_A2_1-6_262,121.288342,24.992841,A2,1
108_A2_1-6_263,120.292649,22.692616,A2,1
108_A2_1-6_264,121.260688,24.949688,A2,1
108_A2_1-6_265,121.505462,25.026017,A2,1
108_A2_1-6_266,120.206788,23.007487,A2,1
108_A2_1-6_267,120.992673,24.805332,A2,1
108_A2_1-6_268,120.669691,24.130343,A2,1
108_A2_1-6_269,121.42721,25.018806,A2,1
108_A2_1-6_270,121.736386,25.128453,A2,1
108_A2_1-6_271,120.685702,24.151191,A2,1
108_A2_1-6_272,121.737126,25.105738,A2,1
108_A2_1-6_273,120.51608,24.057234,A2,1
108_A2_1-6_274,120.952429,24.757108,A2,1
108_A2_1-6_275,121.196191,24.932907,A2,1
108_A2_1-6_276,121.507114,24.997052,A2,1
108_A2_1-6_277,120.188558,22.967779,A2,1
108_A2_1-6_278,121.372706,24.93625,A2,1
108_A2_1-6_279,120.562018,22.433332,A2,1
108_A2_1-6_280,120.282509,22.626507,A2,1
108_A2_1-6_281,121.301134,25.001136,A2,1
108_A2_1-6_282,121.173599,23.007567,A2,1
108_A2_1-6_283,120.658795,24.145561,A2,1
